fecha;unidades
31/12/2013;1921
01/01/2014;766
02/01/2014;787
03/01/2014;824
04/01/2014;245
05/01/2014;2
06/01/2014;488
07/01/2014;739
08/01/2014;852
09/01/2014;875
10/01/2014;916
11/01/2014;273
12/01/2014;3
13/01/2014;543
14/01/2014;823
15/01/2014;948
16/01/2014;973
17/01/2014;1019
18/01/2014;303
19/01/2014;3
20/01/2014;603
21/01/2014;913
22/01/2014;1051
23/01/2014;1079
24/01/2014;1129
25/01/2014;336
26/01/2014;3
27/01/2014;668
28/01/2014;1013
29/01/2014;1167
30/01/2014;1198
31/01/2014;1255
01/02/2014;294
02/02/2014;3
03/02/2014;584
04/02/2014;884
05/02/2014;1018
06/02/2014;1045
07/02/2014;1095
08/02/2014;326
09/02/2014;3
10/02/2014;648
11/02/2014;982
12/02/2014;1133
13/02/2014;1164
14/02/2014;1219
15/02/2014;364
16/02/2014;3
17/02/2014;723
18/02/2014;1095
19/02/2014;1261
20/02/2014;1294
21/02/2014;1355
22/02/2014;404
23/02/2014;4
24/02/2014;803
25/02/2014;1216
26/02/2014;1401
27/02/2014;1439
28/02/2014;1507
01/03/2014;283
02/03/2014;3
03/03/2014;561
04/03/2014;851
05/03/2014;981
06/03/2014;1007
07/03/2014;1056
08/03/2014;315
09/03/2014;3
10/03/2014;625
11/03/2014;947
12/03/2014;1091
13/03/2014;1121
14/03/2014;1174
15/03/2014;350
16/03/2014;3
17/03/2014;695
18/03/2014;1054
19/03/2014;1215
20/03/2014;1249
21/03/2014;1310
22/03/2014;391
23/03/2014;4
24/03/2014;776
25/03/2014;1176
26/03/2014;1357
27/03/2014;1395
28/03/2014;1461
29/03/2014;435
30/03/2014;4
31/03/2014;865
01/04/2014;851
02/04/2014;981
03/04/2014;1008
04/04/2014;1056
05/04/2014;315
06/04/2014;3
07/04/2014;626
08/04/2014;949
09/04/2014;1095
10/04/2014;1125
11/04/2014;1178
12/04/2014;351
13/04/2014;3
14/04/2014;697
15/04/2014;1057
16/04/2014;1218
17/04/2014;1251
18/04/2014;1310
19/04/2014;390
20/04/2014;4
21/04/2014;776
22/04/2014;1176
23/04/2014;1355
24/04/2014;1391
25/04/2014;1457
26/04/2014;434
27/04/2014;4
28/04/2014;862
29/04/2014;1307
30/04/2014;1507
01/05/2014;937
02/05/2014;981
03/05/2014;292
04/05/2014;3
05/05/2014;581
06/05/2014;881
07/05/2014;1016
08/05/2014;1044
09/05/2014;1094
10/05/2014;326
11/05/2014;3
12/05/2014;648
13/05/2014;981
14/05/2014;1130
15/05/2014;1160
16/05/2014;1215
17/05/2014;362
18/05/2014;3
19/05/2014;719
20/05/2014;1091
21/05/2014;1257
22/05/2014;1292
23/05/2014;1354
24/05/2014;403
25/05/2014;4
26/05/2014;801
27/05/2014;1215
28/05/2014;1399
29/05/2014;1437
30/05/2014;1506
31/05/2014;449
01/06/2014;3
02/06/2014;554
03/06/2014;840
04/06/2014;968
05/06/2014;995
06/06/2014;1042
07/06/2014;311
08/06/2014;3
09/06/2014;617
10/06/2014;936
11/06/2014;1078
12/06/2014;1108
13/06/2014;1161
14/06/2014;346
15/06/2014;3
16/06/2014;687
17/06/2014;1041
18/06/2014;1198
19/06/2014;1231
20/06/2014;1291
21/06/2014;385
22/06/2014;4
23/06/2014;764
24/06/2014;1158
25/06/2014;1334
26/06/2014;1371
27/06/2014;1436
28/06/2014;428
29/06/2014;4
30/06/2014;850
01/07/2014;846
02/07/2014;976
03/07/2014;1004
04/07/2014;1052
05/07/2014;313
06/07/2014;3
07/07/2014;623
08/07/2014;944
09/07/2014;1087
10/07/2014;1116
11/07/2014;1169
12/07/2014;349
13/07/2014;3
14/07/2014;693
15/07/2014;1049
16/07/2014;1208
17/07/2014;1241
18/07/2014;1299
19/07/2014;387
20/07/2014;4
21/07/2014;769
22/07/2014;1167
23/07/2014;1346
24/07/2014;1383
25/07/2014;1448
26/07/2014;431
27/07/2014;4
28/07/2014;857
29/07/2014;1299
30/07/2014;1497
31/07/2014;1536
01/08/2014;1021
02/08/2014;304
03/08/2014;3
04/08/2014;605
05/08/2014;916
06/08/2014;1055
07/08/2014;1084
08/08/2014;1135
09/08/2014;338
10/08/2014;3
11/08/2014;672
12/08/2014;1019
13/08/2014;1175
14/08/2014;1206
15/08/2014;1264
16/08/2014;376
17/08/2014;3
18/08/2014;748
19/08/2014;1133
20/08/2014;1305
21/08/2014;1339
22/08/2014;1401
23/08/2014;417
24/08/2014;4
25/08/2014;829
26/08/2014;1256
27/08/2014;1448
28/08/2014;1488
29/08/2014;1557
30/08/2014;465
31/08/2014;4
01/09/2014;637
02/09/2014;966
03/09/2014;1112
04/09/2014;1142
05/09/2014;1196
06/09/2014;356
07/09/2014;3
08/09/2014;708
09/09/2014;1072
10/09/2014;1234
11/09/2014;1266
12/09/2014;1326
13/09/2014;395
14/09/2014;4
15/09/2014;784
